Location,,,Monthly Speeds /ms^-1,,,,,,,,,,,,
Name,Lat,Long,Jan,Feb,Mar,Apr,May,Jun,July,August,Sept,Oct,Nov,Dec,Average
Lossiemouth,57.7167,-3.3169,6.02,5.3,6.19,5.28,4.83,4.5,4.6,4.6,5.01,5.19,5.95,4.95,5.201666667
Stornoway,58.2167,-6.3167,6.94,5.66,6.33,5.58,5.16,4.87,4.97,5.08,5.45,6.3,6.52,5.95,5.734166667
Benbecula,57.4667,-7.3667,8,6.14,7.04,6.23,5.96,5.69,6.01,6.04,6.6,7.12,7.42,6.39,6.553333333
Sumburgh Cape,59.80028,-1.1865,8.6,7.28,7,6.12,5.11,4.61,4.59,4.85,5.97,6.94,7.82,7.31,6.35
Shetland Island,60.4333,-1.29999,8.45,6.65,7.39,6.82,6.24,5.6,5.71,5.68,7.26,7.3,7.18,6.66,6.745
Aberdeen,57.2,-2.21669,5.25,4.4,5.06,4.38,4.09,3.83,3.87,3.94,4.08,4.47,4.73,4.07,4.3475
Inverness,57.5333,-4.04999,4.83,4.2,4.91,4.42,3.88,3.68,3.75,3.7,4.05,3.86,4.53,3.68,4.124166667
Glasgow,55.8667,-4.4333,4.83,3.95,4.59,4.35,4.25,3.75,3.87,3.72,3.99,3.97,4.32,3.37,4.08
Carlisle,54.9333,-2.95,5.04,4.02,5.22,5.04,5.05,3.84,4.51,4.45,4.39,4.13,4.52,3.36,4.464166667
Newcastle,55.0333,-1.7,4.7,3.73,4.49,3.72,3.54,2.78,3.04,3.31,3.37,3.06,4,3.26,3.583333333
Leeds,53.8667,-1.64999,5.81,4.68,5.46,4.43,4.43,3.9,4.21,4.45,4.34,4.32,5.43,4.71,4.680833333
Church Fenton,53.8333,-1.2,4.95,4.12,5.27,4.14,4.28,3.46,3.81,4.26,4,3.93,4.88,4.02,4.26
Humberside,53.58932,-0.34606,5.86,4.73,5.58,4.9,4.93,3.95,4.55,4.79,4.88,4.97,5.85,4.89,4.99
Blackpool,53.7667,-3.033,6.84,5.22,6.02,5.35,5.73,5.07,5.76,5.86,5.7,5.83,6.52,5.4,5.775
Hawarden,53.1667,-2.98329,4.89,4.14,5.07,4.43,4.35,4.13,4.5,4.69,4.39,4.07,4.3,3.78,4.395
Shawbury,52.8,-2.6666,4.85,3.94,4.91,3.92,4.03,3.55,4.16,4.18,3.81,3.79,4.34,3.78,4.105
East Midlands,52.8333,-1.3333,5.85,4.68,5.53,4.51,4.59,3.9,4.49,4.57,4.42,4.61,5.53,4.86,4.795
Holbeach,52.8667,0.1499,7.18,6.53,7.21,6.84,7.24,5.58,6.28,6,6.61,5.98,7.05,6.61,6.5925
Norwich,52.6333,1.29999,5.95,4.72,5.46,4.53,4.73,3.85,4.3,4.27,3.98,3.78,4.92,4.67,4.596666667
