PLACE,MEANS
AVONMOUTH,6.994193798
BANGOR (NORTHERN IRELAND),2.053022346
BARMOUTH (WALES),2.731306667
BOURNEMOUTH,1.598975904
CROMER,2.94296
DEVONPORT,3.412010101
DOVER,3.765353659
FELIXSTOWE,2.095835938
FISHGUARD,2.753590674
HARWICH,2.183360544
HEYSHAM,5.177368715
HINKLEY POINT,6.252664804
HOLYHEAD,3.291746114
ILFRACOMBE,5.010065476
IMMINGHAM,4.181858824
PORT ERIN (ISLE OF MAN),2.910541872
PORT ELLEN (ISLAY),0.500029851
ST.HELIER (JERSEY),6.04222549
KINLOCHBERVIE,2.896587209
LEITH,3.199494565
LERWICK,1.323415094
LIVERPOOL (GLADSTONE DOCK),5.325620321
LLANDUDNO,4.072310881
LOWESTOFT,1.671745098
MILFORD HAVEN,3.908302703
MILLPORT,2.015134328
MORAY FIRTH (SHEET PILE WALL),2.539017857
MUMBLES (WALES),5.22155
NEWLYN,3.22947449
NEWHAVEN,3.657039409
NEWPORT (GWENT),6.145061728
NORTH SHIELDS,2.977954774
PORTPATRICK,2.192397163
PORTRUSH,1.291605
PORTBURY,7.083960526
PORTSMOUTH,2.896020202
SHEERNESS,3.06837037
St. MARY's (ISLES OF SCILLY),3.193186747
STORNOWAY,2.92360452
TOBERMORY,2.746514286
ULLAPOOL,3.099221106
WEYMOUTH,1.148893048
WHITBY,3.440077348
WICK,2.074290816
WORKINGTON,4.530795
