Milton Keynes,Buckinghamshire,England,52.13611,-0.66444
"White Mill, Coldham",Cambridgeshire,England,52.57472,-0.14583
Coldham,Cambridgeshire,England,52.57472,-0.14583
Glass Moor,Cambridgeshire,England,52.56833,-0.11139
McCain Foods,Cambridgeshire,England,52.56111,-0.17222
Ransonmoor Farm,Cambridgeshire,England,52.495,0.02389
Ransonmoor Farm Phase II,Cambridgeshire,England,52.495,0.02389
Red Tile,Cambridgeshire,England,52.45056,-0.0075
Stags Holt,Cambridgeshire,England,52.57472,-0.14583
Bears Down,Cornwall,England,50.47306,-4.95306
Carland Cross,Cornwall,England,50.35139,-5.03
Cold Northcott,Cornwall,England,50.63722,-4.51861
Delabole[2],Cornwall,England,50.63722,-4.70417
Four Burrows,Cornwall,England,50.29167,-5.14556
Goonhilly Repowering,Cornwall,England,50.04611,-5.19889
St Breock,Cornwall,England,50.47667,-4.8625
WWF Roskrow Barton,Cornwall,England,50.17194,-5.15222
Broom Hill (includes Sunnyside),County Durham,England,54.88528,-1.83778
Hare Hill(3Hs),County Durham,England,54.7625,-1.41639
High Hedley Hope,County Durham,England,54.76,-1.78083
High Hedley Hope 2,County Durham,England,54.76472,-1.76833
High Volts (3Hs),County Durham,England,54.69944,-1.29139
Holmside Hall (3Hs),County Durham,England,54.83833,-1.67639
Langley Park/Long Edge,County Durham,England,54.795,-1.66722
Tow Law,County Durham,England,54.76028,-1.7825
Trimdon Grange,County Durham,England,54.71306,-1.41944
"Walkway, High Swainston",County Durham,England,54.67417,-1.38444
West Durham,County Durham,England,54.76806,-1.82167
WWA High Sharpley,County Durham,England,54.83889,-1.41778
Askam,Cumbria,England,54.18722,-3.17222
Eastman (Voridian),Cumbria,England,54.66417,-3.5425
Fairfield,Cumbria,England,54.57361,-3.52528
Great Orton II,Cumbria,England,54.86694,-3.07528
Harlock Hill,Cumbria,England,54.21889,-3.15778
Haverigg,Cumbria,England,54.20083,-3.32917
Haverigg II,Cumbria,England,54.20083,-3.32917
Haverigg III,Cumbria,England,54.20083,-3.32917
Kirkby Moor,Cumbria,England,54.24611,-3.15222
Lambrigg,Cumbria,England,54.33528,-2.63833
Lowca,Cumbria,England,54.59278,-3.57583
Oldside,Cumbria,England,54.65944,-3.55944
Siddick,Cumbria,England,54.67111,-3.54306
Wharrels Hill,Cumbria,England,54.72667,-3.2825
Winscales Moor,Cumbria,England,54.64222,-3.49694
Winscales,Cumbria,England,54.86417,-3.0875
Winscales Extension,Cumbria,England,54.86417,-3.0875
WWU High Pow,Cumbria,England,54.78083,-3.15972
Carsington Pasture,Derbyshire,England,53.08654,1.6311
Forestmoor,Devon,England,50.89417,-4.41583
Lissett Airfield,East Riding of Yorkshire,England,54.00972,-0.25417
Bristol Port,Gloucestershire,England,51.49444,-2.68556
Out Newton,East Riding of Yorkshire,England,53.6675,-0.10111
Little Cheyne Court,Kent,England,50.9625,0.82028_
Caton Moor Repowering,Lancashire,England,54.06083,-2.65694
Coal Clough,Lancashire,England,53.74861,-2.1675
Scout Moor,Lancashire,England,53.66694,-2.27389
WWP Hameldon Hill,Lancashire,England,53.78861,-2.16083
Bagmoor,Lincolnshire,England,53.63722,-0.63278
Bambers Farm,Lincolnshire,England,53.32889,0.25083
Bambers Farm II,Lincolnshire,England,53.3275,0.24028
Bicker Fen,Lincolnshire,England,52.92611,-0.21639
Conisholme Fen Resubmission,Lincolnshire,England,53.42556,-0.08
Deeping St Nicholas,Lincolnshire,England,52.73278,-0.21694
Gedney Marsh (Red House),Lincolnshire,England,52.83972,-0.10667
Mablethorpe,Lincolnshire,England,53.3275,0.24028
The Hollies,Lincolnshire,England,53.12944,0.24806
Dagenham,London,England,51.52167,0.15056
Mersey Docks,Merseyside,England,53.45861,-3.03028
Royal Seaforth Dock,Merseyside,England,53.45861,-3.03028
Blood Hill,Norfolk,England,52.71139,1.6675
North Pickenham Wind Farm,Norfolk,England,52.62611,0.74972
"Knabs Ridge, Felliscliffe",North Yorkshire,England,53.995,-1.64306
Rusholme,North Yorkshire,England,53.72556,-0.92083
